epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4893,0.68968,1.42001,1.06239,0.82156,0.83099,0.90172,0.59939,0.90139,1.71024,1.47255,0.000663446,0.000663446,0.000663446
2,115.536,0.81697,1.07194,1.11573,0.6881,0.65258,0.67838,0.35006,1.66691,1.97227,2.35324,0.00131694,0.00131694,0.00131694
3,156.618,0.85894,0.8957,1.14223,0.68538,0.77465,0.779,0.44473,1.31399,1.93408,1.89272,0.00195724,0.00195724,0.00195724
4,196.931,0.85299,0.81769,1.13983,0.52189,0.36903,0.39199,0.17561,2.10108,2.22743,2.8773,0.0019406,0.0019406,0.0019406
5,237.679,0.82158,0.74694,1.12327,0.87385,0.88732,0.94834,0.66906,0.93473,0.94053,1.4385,0.0019208,0.0019208,0.0019208
