epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,944.921,0.60692,0.52293,0.98097,0.89582,0.96615,0.97699,0.79541,0.6831,0.55263,1.11872,0.0017426,0.0017426,0.0017426
15,1017.13,0.58193,0.49272,0.96871,0.97438,0.98876,0.98424,0.8212,0.58562,0.44217,1.06088,0.0017228,0.0017228,0.0017228
16,1105.65,0.57708,0.47704,0.95684,0.96501,0.96629,0.96366,0.82441,0.6262,0.45275,1.05185,0.001703,0.001703,0.001703
17,1177.23,0.5669,0.48649,0.96137,0.96341,0.96629,0.97037,0.82407,0.59541,0.46212,1.04542,0.0016832,0.0016832,0.0016832
18,1243.87,0.55089,0.47686,0.95988,0.95337,0.96629,0.96994,0.8288,0.60693,0.46158,1.01366,0.0016634,0.0016634,0.0016634
19,1310.54,0.56309,0.4515,0.9603,0.98529,0.95506,0.96604,0.81313,0.62764,0.51196,1.05651,0.0016436,0.0016436,0.0016436
20,1376.61,0.5356,0.4375,0.95169,0.9102,0.89888,0.95266,0.80942,0.56724,0.57503,1.0272,0.0016238,0.0016238,0.0016238
21,1444.57,0.53369,0.43628,0.94572,0.97694,0.95223,0.9804,0.86933,0.52671,0.47004,0.98859,0.001604,0.001604,0.001604
22,1510.24,0.53176,0.42643,0.9459,0.94959,0.95506,0.97719,0.85598,0.50755,0.42757,0.93944,0.0015842,0.0015842,0.0015842
23,1574.96,0.51606,0.41497,0.94715,0.98571,0.96629,0.96854,0.87448,0.49725,0.36831,0.96845,0.0015644,0.0015644,0.0015644
24,1643.38,0.52412,0.41529,0.94813,0.98849,0.96485,0.97901,0.8749,0.5173,0.401,0.98964,0.0015446,0.0015446,0.0015446
25,1708.11,0.51252,0.39928,0.93791,0.91735,0.97753,0.97619,0.86153,0.50135,0.42085,0.9838,0.0015248,0.0015248,0.0015248
26,1772.31,0.50965,0.41771,0.93785,0.9673,0.95506,0.98184,0.87298,0.48476,0.39926,0.94926,0.001505,0.001505,0.001505
27,1836.42,0.50807,0.4048,0.93498,0.97763,0.9823,0.98401,0.84,0.59239,0.4304,0.99919,0.0014852,0.0014852,0.0014852
28,1900.36,0.49613,0.39417,0.93773,0.96698,0.9871,0.98296,0.85534,0.54481,0.39581,1.0241,0.0014654,0.0014654,0.0014654
29,1958.31,0.50916,0.39394,0.93996,0.94061,0.97753,0.96259,0.86874,0.45907,0.40562,0.93657,0.0014456,0.0014456,0.0014456
30,2015.62,0.477,0.38167,0.92803,0.97774,0.98709,0.98333,0.86481,0.49804,0.36309,0.98784,0.0014258,0.0014258,0.0014258
31,2072.91,0.49805,0.3919,0.93443,0.97633,0.98876,0.98544,0.88696,0.46609,0.33505,0.93357,0.001406,0.001406,0.001406
32,2130.34,0.47532,0.37676,0.93103,0.9881,0.98876,0.98571,0.90045,0.43863,0.32517,0.90519,0.0013862,0.0013862,0.0013862
33,2187.5,0.47726,0.36844,0.92532,0.98705,0.97753,0.9825,0.88713,0.4386,0.35687,0.91035,0.0013664,0.0013664,0.0013664
34,2244.66,0.47014,0.36557,0.9255,0.992,0.98876,0.98558,0.87694,0.47927,0.35387,0.94411,0.0013466,0.0013466,0.0013466
35,2301.81,0.4682,0.37418,0.92618,0.90022,0.94382,0.95842,0.87878,0.43653,0.42925,0.92442,0.0013268,0.0013268,0.0013268
36,2359.59,0.45686,0.35896,0.91868,0.98762,0.95506,0.97505,0.88206,0.45422,0.33214,0.92476,0.001307,0.001307,0.001307
37,2417.1,0.45542,0.35232,0.91758,1,0.97658,0.98601,0.91167,0.41271,0.3232,0.89836,0.0012872,0.0012872,0.0012872
38,2474.09,0.45406,0.34892,0.91617,0.99814,0.98876,0.98679,0.91237,0.40423,0.29805,0.88461,0.0012674,0.0012674,0.0012674
39,2531.25,0.45407,0.35001,0.91297,0.99965,0.96629,0.98342,0.91043,0.41855,0.32883,0.91485,0.0012476,0.0012476,0.0012476
40,2588.33,0.44981,0.33689,0.91249,1,0.97659,0.98878,0.90627,0.40504,0.30972,0.88987,0.0012278,0.0012278,0.0012278
41,2645.4,0.44787,0.34234,0.91559,0.97586,0.96629,0.96736,0.88742,0.42771,0.36579,0.92018,0.001208,0.001208,0.001208
42,2702.21,0.42964,0.33394,0.9068,0.98862,0.97631,0.98653,0.91415,0.3877,0.29844,0.89,0.0011882,0.0011882,0.0011882
43,2759.73,0.45173,0.33924,0.91138,0.97776,0.98876,0.98507,0.89289,0.4433,0.31255,0.93411,0.0011684,0.0011684,0.0011684
44,2817.59,0.43512,0.33214,0.91491,0.99782,0.96629,0.98328,0.91344,0.42544,0.32369,0.88848,0.0011486,0.0011486,0.0011486
45,2874.65,0.43061,0.33158,0.90807,0.99689,0.98876,0.98676,0.91954,0.40665,0.29468,0.87628,0.0011288,0.0011288,0.0011288
46,2931.77,0.4275,0.32446,0.90428,0.99865,0.98876,0.98718,0.91773,0.41515,0.2851,0.89729,0.001109,0.001109,0.001109
47,2988.84,0.42632,0.32081,0.90226,0.99879,0.98876,0.9885,0.92992,0.36736,0.26489,0.85678,0.0010892,0.0010892,0.0010892
48,3046.11,0.43062,0.31739,0.90744,0.98472,0.97753,0.98612,0.90782,0.38651,0.29482,0.87497,0.0010694,0.0010694,0.0010694
49,3103.26,0.42689,0.31766,0.90719,0.99883,0.98876,0.98726,0.91669,0.35576,0.27457,0.86284,0.0010496,0.0010496,0.0010496
50,3165.31,0.41293,0.31403,0.90103,0.98779,0.98876,0.98688,0.9194,0.37163,0.26959,0.86212,0.0010298,0.0010298,0.0010298
51,3221.86,0.40612,0.31243,0.90687,0.99779,0.98876,0.98791,0.93027,0.40502,0.29088,0.89715,0.00101,0.00101,0.00101
52,3277.89,0.40566,0.30851,0.90376,1,0.98781,0.98706,0.92295,0.37399,0.28126,0.87218,0.0009902,0.0009902,0.0009902
53,3334.26,0.40787,0.304,0.90153,0.98781,0.98876,0.98882,0.91355,0.39331,0.28674,0.86203,0.0009704,0.0009704,0.0009704
54,3390.57,0.41,0.30305,0.90337,0.99919,0.98876,0.98926,0.93745,0.37036,0.26522,0.86657,0.0009506,0.0009506,0.0009506
55,3446.85,0.4036,0.30658,0.90435,0.97474,0.97753,0.98432,0.90626,0.3899,0.29619,0.86643,0.0009308,0.0009308,0.0009308
56,3503.21,0.40719,0.29627,0.89905,0.98876,0.98806,0.98613,0.91993,0.37593,0.27457,0.86222,0.000911,0.000911,0.000911
57,3559.8,0.397,0.28404,0.89475,0.99938,0.98876,0.98797,0.91226,0.41198,0.28131,0.88009,0.0008912,0.0008912,0.0008912
58,3616.12,0.4111,0.29953,0.90164,0.98778,0.98876,0.987,0.92414,0.37265,0.28067,0.84853,0.0008714,0.0008714,0.0008714
59,3672.25,0.39316,0.2926,0.89488,0.9981,0.98876,0.98771,0.91504,0.39611,0.2852,0.89845,0.0008516,0.0008516,0.0008516
60,3728.54,0.39582,0.28648,0.89585,0.99548,0.97753,0.97658,0.92392,0.33795,0.27462,0.83961,0.0008318,0.0008318,0.0008318
61,3784.53,0.38497,0.29248,0.88983,0.99884,0.97753,0.97913,0.92007,0.36424,0.28632,0.85725,0.000812,0.000812,0.000812
62,3840.79,0.3907,0.28121,0.89,1,0.98818,0.98749,0.93007,0.33889,0.26164,0.84209,0.0007922,0.0007922,0.0007922
63,3897.06,0.39015,0.2754,0.89577,0.99853,0.97753,0.99011,0.9395,0.34955,0.25149,0.84601,0.0007724,0.0007724,0.0007724
64,3953.3,0.38873,0.28041,0.89659,1,0.98818,0.99022,0.93233,0.37683,0.27164,0.88304,0.0007526,0.0007526,0.0007526
65,4009.47,0.37512,0.27368,0.88743,0.99955,0.98876,0.98961,0.94738,0.35386,0.25975,0.86015,0.0007328,0.0007328,0.0007328
66,4065.75,0.39015,0.2834,0.89905,0.99925,0.98876,0.98779,0.93743,0.35874,0.24476,0.86988,0.000713,0.000713,0.000713
67,4121.87,0.3846,0.27545,0.89481,0.98796,0.98876,0.9845,0.93045,0.34993,0.25153,0.84319,0.0006932,0.0006932,0.0006932
68,4178.09,0.37534,0.27142,0.8889,0.99898,0.98876,0.98737,0.9397,0.33396,0.22467,0.84574,0.0006734,0.0006734,0.0006734
69,4234.35,0.38008,0.27854,0.89633,0.99927,0.98876,0.98894,0.9344,0.37548,0.24593,0.88158,0.0006536,0.0006536,0.0006536
70,4290.68,0.37405,0.2666,0.89056,0.99922,0.98876,0.9898,0.94159,0.33705,0.22977,0.84874,0.0006338,0.0006338,0.0006338
71,4347.04,0.3702,0.26891,0.88934,1,0.98813,0.98702,0.93983,0.31717,0.22849,0.83344,0.000614,0.000614,0.000614
72,4403.21,0.37632,0.26551,0.89078,0.99908,0.98876,0.98958,0.94947,0.30668,0.22189,0.82388,0.0005942,0.0005942,0.0005942
73,4459.48,0.368,0.25801,0.88711,0.9992,0.98876,0.98779,0.94024,0.32188,0.22236,0.84106,0.0005744,0.0005744,0.0005744
74,4515.83,0.37053,0.25882,0.89182,0.99882,0.98876,0.98904,0.94698,0.32447,0.22802,0.85193,0.0005546,0.0005546,0.0005546
75,4571.99,0.35603,0.24918,0.88108,0.9992,0.98876,0.98926,0.93694,0.33841,0.22924,0.86597,0.0005348,0.0005348,0.0005348
76,4628.69,0.36415,0.25346,0.88511,0.99904,0.96629,0.98531,0.93448,0.31582,0.24059,0.83723,0.000515,0.000515,0.000515
77,4684.75,0.36056,0.255,0.88589,0.99908,0.96629,0.98911,0.93802,0.33107,0.24409,0.84696,0.0004952,0.0004952,0.0004952
78,4740.77,0.35026,0.24878,0.87884,0.99895,0.97753,0.9875,0.94321,0.32948,0.23775,0.85244,0.0004754,0.0004754,0.0004754
79,4797.09,0.34855,0.24328,0.87934,1,0.98679,0.98935,0.94861,0.31124,0.22653,0.84402,0.0004556,0.0004556,0.0004556
80,4853.2,0.35238,0.24539,0.88396,0.99912,0.97753,0.98873,0.94113,0.32418,0.22865,0.85358,0.0004358,0.0004358,0.0004358
81,4909.62,0.34197,0.24159,0.87863,0.98837,0.98876,0.98917,0.95521,0.30355,0.21445,0.83525,0.000416,0.000416,0.000416
82,4965.73,0.34951,0.23703,0.88198,0.9999,0.98876,0.99026,0.95412,0.30508,0.20662,0.83417,0.0003962,0.0003962,0.0003962
83,5021.99,0.33934,0.23681,0.87507,1,0.98812,0.9894,0.9466,0.30992,0.21764,0.84269,0.0003764,0.0003764,0.0003764
84,5078.31,0.34461,0.24014,0.88058,0.99917,0.98876,0.98896,0.94619,0.30604,0.20238,0.83637,0.0003566,0.0003566,0.0003566
85,5134.56,0.33848,0.23224,0.87515,0.99922,0.98876,0.98972,0.94724,0.30538,0.20784,0.83767,0.0003368,0.0003368,0.0003368
86,5190.83,0.34944,0.23345,0.88207,0.99903,0.98876,0.98975,0.94393,0.30363,0.20039,0.84434,0.000317,0.000317,0.000317
87,5246.92,0.33167,0.22396,0.87429,1,0.98829,0.99033,0.95085,0.29178,0.20425,0.82962,0.0002972,0.0002972,0.0002972
88,5303.08,0.33187,0.22716,0.8732,1,0.98785,0.99022,0.95543,0.29302,0.21241,0.82711,0.0002774,0.0002774,0.0002774
89,5359.52,0.33532,0.22853,0.88124,0.99881,0.97753,0.99022,0.95567,0.2883,0.19966,0.8274,0.0002576,0.0002576,0.0002576
90,5415.76,0.33174,0.21868,0.87353,0.9992,0.97753,0.99068,0.96135,0.28871,0.20768,0.82645,0.0002378,0.0002378,0.0002378
91,5508.85,0.27844,0.20623,0.83631,0.99912,0.97753,0.98915,0.95243,0.29416,0.19719,0.82665,0.000218,0.000218,0.000218
92,5563.24,0.27346,0.19013,0.82372,0.99943,0.98876,0.99026,0.95579,0.29112,0.19279,0.82848,0.0001982,0.0001982,0.0001982
93,5617.84,0.2717,0.18907,0.82506,1,0.98772,0.99055,0.95233,0.29359,0.19152,0.82482,0.0001784,0.0001784,0.0001784
94,5672.37,0.26406,0.17955,0.8253,0.99914,0.97753,0.99078,0.94766,0.30196,0.19467,0.8285,0.0001586,0.0001586,0.0001586
95,5726.94,0.26333,0.17807,0.82286,0.99891,0.97753,0.99056,0.95209,0.29239,0.19443,0.82385,0.0001388,0.0001388,0.0001388
96,5781.3,0.25901,0.17503,0.81843,0.99913,0.97753,0.99105,0.9537,0.28413,0.18787,0.81651,0.000119,0.000119,0.000119
97,5835.79,0.25584,0.17407,0.81601,1,0.98799,0.99137,0.95712,0.28477,0.18412,0.81574,9.92e-05,9.92e-05,9.92e-05
98,5890.18,0.25458,0.17373,0.81384,0.99896,0.97753,0.99068,0.9592,0.27762,0.18228,0.81376,7.94e-05,7.94e-05,7.94e-05
99,5944.71,0.25227,0.16962,0.8153,0.99899,0.97753,0.99034,0.95871,0.27869,0.18197,0.81171,5.96e-05,5.96e-05,5.96e-05
100,5999.02,0.25159,0.16932,0.81035,0.99906,0.97753,0.99109,0.95802,0.28227,0.18933,0.8134,3.98e-05,3.98e-05,3.98e-05
