epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0452,0.71217,1.56771,1.03621,0.62141,0.73771,0.69919,0.40091,1.19096,2.10787,1.71814,0.000664399,0.000664399,0.000664399
2,152.693,0.84991,1.12822,1.09696,0.61679,0.75281,0.66149,0.36679,1.20225,1.82815,1.71331,0.00131789,0.00131789,0.00131789
3,214.313,0.86314,0.91539,1.1188,0.70137,0.7653,0.77236,0.4363,1.33348,1.50426,1.84741,0.00195818,0.00195818,0.00195818
4,275.044,0.84976,0.85658,1.10376,0.8082,0.85222,0.88494,0.62632,0.91775,0.93354,1.36252,0.0019406,0.0019406,0.0019406
5,338.354,0.82079,0.79256,1.08372,0.94656,0.79608,0.92215,0.60204,1.0196,0.92553,1.40275,0.0019208,0.0019208,0.0019208
6,408.804,0.73859,0.69091,1.04312,0.93538,0.92135,0.95633,0.7076,0.87974,0.6736,1.32501,0.001901,0.001901,0.001901
7,479.415,0.71466,0.65393,1.03444,0.75941,0.8427,0.84657,0.60281,0.93304,0.95597,1.37065,0.0018812,0.0018812,0.0018812
8,550.388,0.68611,0.61886,1.01762,0.94226,0.92135,0.95739,0.73369,0.85139,0.71614,1.28083,0.0018614,0.0018614,0.0018614
9,615.965,0.70277,0.62207,1.02119,0.91036,0.94382,0.95787,0.76241,0.76423,0.56969,1.18747,0.0018416,0.0018416,0.0018416
10,683.164,0.66309,0.56419,1.00738,0.93678,0.94382,0.97132,0.78356,0.64529,0.55535,1.08224,0.0018218,0.0018218,0.0018218
11,750.004,0.63837,0.55361,0.99169,0.97665,0.93992,0.95243,0.77945,0.68265,0.57581,1.12531,0.001802,0.001802,0.001802
12,816.267,0.63164,0.54681,0.99144,0.98075,0.96629,0.97855,0.83493,0.61814,0.49101,1.0917,0.0017822,0.0017822,0.0017822
13,882.372,0.60102,0.53204,0.98165,0.92601,0.98876,0.97732,0.79971,0.65655,0.58236,1.06817,0.0017624,0.0017624,0.0017624
