epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1754.3,0.50401,0.33856,0.95283,0.99909,0.98592,0.98712,0.90893,0.44064,0.30419,0.97959,0.0011882,0.0011882,0.0011882
43,1794.95,0.5179,0.36168,0.95334,0.99819,0.98592,0.98714,0.9312,0.37534,0.26266,0.93357,0.0011684,0.0011684,0.0011684
44,1835.83,0.5102,0.34215,0.9509,0.99917,0.98592,0.98729,0.93555,0.35457,0.26673,0.89699,0.0011486,0.0011486,0.0011486
45,1876.56,0.5132,0.34838,0.95857,0.99896,0.98592,0.98584,0.93137,0.36207,0.27077,0.90819,0.0011288,0.0011288,0.0011288
46,1917.26,0.51651,0.34378,0.95847,0.99915,0.98592,0.98882,0.92718,0.37624,0.26304,0.92942,0.001109,0.001109,0.001109
47,1957.98,0.50179,0.33494,0.94952,0.99916,0.98592,0.98767,0.93608,0.37896,0.26656,0.97134,0.0010892,0.0010892,0.0010892
48,1998.68,0.51459,0.35291,0.95762,0.99893,0.98592,0.98631,0.93971,0.34229,0.25131,0.89767,0.0010694,0.0010694,0.0010694
49,2039.38,0.48767,0.33922,0.94789,0.99935,0.98592,0.98813,0.9442,0.33835,0.25195,0.90714,0.0010496,0.0010496,0.0010496
50,2080.22,0.49638,0.32825,0.94287,0.9991,0.98592,0.98831,0.95253,0.33173,0.25773,0.90447,0.0010298,0.0010298,0.0010298
51,2120.91,0.49552,0.33604,0.93984,0.99589,0.98592,0.98831,0.94869,0.35598,0.272,0.90368,0.00101,0.00101,0.00101
52,2161.52,0.4866,0.31465,0.93781,0.999,0.98592,0.98773,0.95127,0.32345,0.23286,0.87812,0.0009902,0.0009902,0.0009902
53,2202.39,0.48676,0.32841,0.94185,0.99834,0.98592,0.98654,0.94917,0.31304,0.25982,0.87034,0.0009704,0.0009704,0.0009704
54,2243.33,0.48861,0.3239,0.94544,0.99769,0.98592,0.98845,0.95078,0.31958,0.24405,0.88901,0.0009506,0.0009506,0.0009506
55,2284.08,0.48768,0.32704,0.94386,0.99705,0.98592,0.98721,0.94015,0.34553,0.2552,0.90341,0.0009308,0.0009308,0.0009308
56,2324.68,0.48962,0.31957,0.93823,0.99912,0.98592,0.98766,0.93395,0.34581,0.24613,0.92289,0.000911,0.000911,0.000911
57,2365.77,0.47203,0.31115,0.93663,0.99917,0.98592,0.98607,0.95415,0.31508,0.23689,0.86835,0.0008912,0.0008912,0.0008912
58,2406.65,0.47206,0.30956,0.93679,0.99907,0.98592,0.98904,0.95924,0.30614,0.22831,0.86688,0.0008714,0.0008714,0.0008714
59,2448.64,0.47451,0.31023,0.93706,0.99913,0.98592,0.98879,0.95195,0.36034,0.24977,0.91882,0.0008516,0.0008516,0.0008516
60,2491.73,0.47051,0.31467,0.94042,0.99918,0.98592,0.98745,0.93821,0.38758,0.24368,0.95431,0.0008318,0.0008318,0.0008318
61,2534.53,0.46821,0.30812,0.93877,0.9991,0.98592,0.98752,0.9583,0.35433,0.24258,0.92594,0.000812,0.000812,0.000812
62,2586.41,0.46068,0.30332,0.9334,0.99914,0.98592,0.98789,0.93956,0.3583,0.23768,0.94211,0.0007922,0.0007922,0.0007922
63,2630.2,0.46294,0.30044,0.92743,0.99239,0.98592,0.98606,0.94797,0.3238,0.24131,0.92384,0.0007724,0.0007724,0.0007724
64,2673.4,0.44922,0.28962,0.9255,0.99852,0.98592,0.98997,0.95434,0.3161,0.22788,0.91149,0.0007526,0.0007526,0.0007526
65,2731.29,0.45029,0.28881,0.93327,0.9975,0.98592,0.98855,0.96252,0.33528,0.2317,0.91533,0.0007328,0.0007328,0.0007328
66,2789.27,0.4583,0.3032,0.93363,0.99903,0.98592,0.98836,0.94959,0.32128,0.23419,0.92296,0.000713,0.000713,0.000713
67,2849.56,0.45906,0.29895,0.93028,0.99913,0.98592,0.98674,0.94548,0.31052,0.22008,0.91311,0.0006932,0.0006932,0.0006932
68,2904.38,0.45779,0.2931,0.92945,0.99889,0.98592,0.98871,0.95517,0.29998,0.20415,0.90369,0.0006734,0.0006734,0.0006734
69,2954.27,0.46104,0.29576,0.92746,0.99858,0.98592,0.98687,0.95242,0.28871,0.2037,0.88674,0.0006536,0.0006536,0.0006536
70,3014.7,0.45672,0.29752,0.92951,0.99917,0.98592,0.98827,0.96119,0.29928,0.22606,0.89302,0.0006338,0.0006338,0.0006338
71,3069.6,0.45538,0.29001,0.93189,0.99891,0.98592,0.98714,0.95548,0.29407,0.19924,0.88702,0.000614,0.000614,0.000614
72,3118.38,0.45615,0.29375,0.92946,0.99914,0.98592,0.98918,0.96142,0.27982,0.20716,0.88141,0.0005942,0.0005942,0.0005942
73,3170.22,0.43545,0.2782,0.92114,0.99888,0.98592,0.98644,0.949,0.30704,0.21011,0.89555,0.0005744,0.0005744,0.0005744
74,3220.73,0.44481,0.28539,0.92837,0.99917,0.98592,0.98863,0.9574,0.3201,0.20242,0.91135,0.0005546,0.0005546,0.0005546
75,3271.03,0.43132,0.27274,0.91927,0.99918,0.98592,0.99012,0.96675,0.29994,0.19601,0.90654,0.0005348,0.0005348,0.0005348
76,3321.19,0.44834,0.28076,0.92865,0.99908,0.98592,0.98811,0.95925,0.31445,0.20828,0.92608,0.000515,0.000515,0.000515
77,3385.23,0.4354,0.26951,0.91908,0.99917,0.98592,0.98952,0.95485,0.3224,0.21404,0.91047,0.0004952,0.0004952,0.0004952
78,3445.86,0.44453,0.27846,0.92258,0.99916,0.98592,0.98747,0.9516,0.29926,0.19911,0.90155,0.0004754,0.0004754,0.0004754
79,3504.51,0.42773,0.26617,0.92542,0.99921,0.98592,0.98885,0.95859,0.2997,0.199,0.86913,0.0004556,0.0004556,0.0004556
80,3567.17,0.42442,0.25958,0.91792,0.99916,0.98592,0.98921,0.96237,0.28926,0.19969,0.88904,0.0004358,0.0004358,0.0004358
81,3631.55,0.43386,0.27058,0.92188,0.99919,0.98592,0.98914,0.9585,0.30169,0.20514,0.87551,0.000416,0.000416,0.000416
82,3691.39,0.41976,0.26249,0.92053,0.99919,0.98592,0.98987,0.9668,0.28228,0.19908,0.89528,0.0003962,0.0003962,0.0003962
83,3744.77,0.42283,0.26345,0.9172,0.99918,0.98592,0.98964,0.96555,0.29123,0.17737,0.90362,0.0003764,0.0003764,0.0003764
